Location,Year, Net earnings by place of residence(Thousands of dollars), Personal current transfer receipts(Thousands of dollars),  Income maintenance benefits 1/(Thousands of dollars),  Unemployment insurance compensation(Thousands of dollars),  Retirement and other(Thousands of dollars)," Dividends, interest, and rent 2/(Thousands of dollars)", Population (persons) 3/(Number of persons), Per capita personal income 4/(Dollars), Per capita net earnings 4/(Dollars), Per capita personal current transfer receipts 4/(Dollars),  Per capita income maintenance benefits 4/(Dollars),  Per capita unemployment insurance compensation 4/(Dollars),  Per capita retirement and other 4/(Dollars)," Per capita dividends, interest, and rent 4/(Dollars)", Earnings by place of work(Thousands of dollars),  Wages and salaries(Thousands of dollars),  Supplements to wages and salaries(Thousands of dollars),   Employer contributions for employee pension and insurance funds 5/(Thousands of dollars),   Employer contributions for government social insurance(Thousands of dollars),  Proprietors' income(Thousands of dollars),   Farm proprietors' income(Thousands of dollars),   Nonfarm proprietors' income(Thousands of dollars),Total employment (number of jobs)(Number of jobs), Wage and salary employment(Number of jobs), Proprietors employment(Number of jobs),  Farm proprietors employment 6/(Number of jobs),  Nonfarm proprietors employment(Number of jobs),Average earnings per job (dollars)(Dollars), Average wages and salaries(Dollars), Average nonfarm proprietors' income(Dollars)
"Charlotte, FL",2012,2130377,1853958,89853,19137,1744968,1567478,162833,34095,13083,11386,552,118,10716,9626,2247595,1553585,359824,240880,118944,334186,52616,281570,61871,44420,17451,220,17231,36327,34975,16341
"Charlotte, FL",2013,2183818,1919619,90879,12542,1816198,1627950,164830,34772,13249,11646,551,76,11019,9877,2319092,1636828,384761,262051,122710,297503,47557,249946,63458,45484,17974,223,17751,36545,35987,14081
"Charlotte, FL",2014,2288718,2056534,88992,6300,1961242,1844177,168336,36768,13596,12217,529,37,11651,10955,2406055,1692697,386362,260666,125696,326996,44843,282153,65561,46535,19026,223,18803,36699,36375,15006
"Charlotte, FL",2015,2484856,2197218,89128,3530,2104560,1972869,172824,38507,14378,12714,516,20,12177,11415,2589531,1806057,407667,278348,129319,375807,56678,319129,68115,48084,20031,225,19806,38017,37560,16113
"Charlotte, FL",2016,2620065,2302371,84914,2865,2214592,2124313,178157,39554,14706,12923,477,16,12431,11924,2703691,1904423,413866,280103,133763,385402,41425,343977,69745,49724,20021,224,19797,38765,38300,17375
"Charlotte, FL",2017,2740569,2415036,93505,2715,2318816,2227048,182033,40557,15055,13267,514,15,12738,12234,2817073,1987291,425581,287250,138331,404201,44624,359577,70542,50113,20429,223,20206,39935,39656,17796
"Dallas, TX",2001,60490382,6445983,669555,258182,5518246,12812790,2249418,35453,26892,2866,298,115,2453,5696,98441052,72582737,13008338,8149509,4858829,12849977,7961,12842016,1867102,1624532,242570,766,241804,52724,44679,53109
"Dallas, TX",2002,60107003,7125132,822588,477759,5824785,12123357,2250326,35264,26710,3166,366,212,2588,5387,97000883,70038837,13137530,8419838,4717692,13824516,9265,13815251,1808086,1557365,250721,697,250024,53648,44973,55256
"Dallas, TX",2003,58884606,7471721,952989,346299,6172433,12988462,2246432,35320,26213,3326,424,154,2748,5782,95635208,69093228,13506000,8587457,4918543,13035980,7811,13028169,1771561,1504787,266774,676,266098,53984,45916,48960
"Dallas, TX",2004,58926678,7732623,1056668,211256,6464699,13444891,2244020,35697,26259,3446,471,94,2881,5991,97526140,72013098,13839578,8727532,5112046,11673464,7965,11665499,1778450,1500470,277980,655,277325,54838,47994,42064
"Dallas, TX",2005,60893999,8513142,1239993,147954,7125195,16207389,2250830,38037,27054,3782,551,66,3166,7201,101660338,74434162,14374515,9140805,5233710,12851661,11506,12840155,1790876,1497874,293002,652,292350,56766,49693,43920
"Dallas, TX",2006,66087452,9012032,1284363,127391,7600278,18238823,2275434,41020,29044,3961,564,56,3340,8016,110186197,79988648,14978653,9602176,5376477,15218896,13646,15205250,1841724,1534532,307192,634,306558,59828,52126,49600
"Dallas, TX",2007,66540173,9839285,1341255,128780,8369250,20777772,2291891,42392,29033,4293,585,56,3652,9066,113626635,85127853,15382338,9799565,5582773,13116444,11255,13105189,1887372,1557673,329699,671,329028,60204,54651,39830
"Dallas, TX",2008,68132034,11290328,1525438,212210,9552680,23472546,2314018,44466,29443,4879,659,92,4128,10144,116920846,87070999,15452656,9803620,5649036,14397191,13175,14384016,1912563,1569855,342708,684,342024,61133,55464,42056
"Dallas, TX",2009,61064442,12430486,1835264,636552,9958670,18235345,2346378,39094,26025,5298,782,271,4244,7772,107505848,82108014,15520651,10024349,5496302,9877183,12941,9864242,1853912,1495063,358849,696,358153,57989,54919,27542
"Dallas, TX",2010,64595044,13743856,2124339,704188,10915329,18577059,2372257,40854,27229,5794,895,297,4601,7831,112233908,83634509,15899238,10174562,5724676,12700161,7955,12692206,1855527,1488065,367462,711,366751,60486,56204,34607
"Dallas, TX",2011,75687509,14123325,2244024,551629,11327672,24730714,2408133,47564,31430,5865,932,229,4704,10270,124393920,87646623,16192749,10178089,6014660,20554548,6421,20548127,1913241,1513820,399421,725,398696,65017,57898,51538
"Dallas, TX",2012,80527527,14054195,2319325,466504,11268366,24772419,2454781,48621,32804,5725,945,190,4590,10091,131132172,92584954,16962079,10644552,6317527,21585139,12123,21573016,1963201,1552693,410508,734,409774,66795,59629,52646
"Dallas, TX",2013,83564657,14470590,2358038,361275,11751277,23685307,2483807,49006,33644,5826,949,145,4731,9536,137097355,95703271,18059261,11509051,6550210,23334823,21016,23313807,2007569,1583403,424166,741,423425,68290,60442,55060
"Dallas, TX",2014,89092488,15213533,2401091,232505,12579937,26597932,2517417,51999,35390,6043,954,92,4997,10566,145982536,102423124,19035289,12129950,6905339,24524123,10231,24513892,2077712,1641066,436646,732,435914,70261,62413,56236
"Dallas, TX",2015,90199825,16085457,2371619,258283,13455555,28075436,2554233,52603,35314,6298,929,101,5268,10992,151051205,109470105,20510296,13129209,7381087,21070804,17572,21053232,2157608,1706073,451535,727,450808,70009,64165,46701
"Dallas, TX",2016,91420785,16799860,2342675,259327,14197858,32681026,2587462,54456,35332,6493,905,100,5487,12631,156138695,114399860,21003709,13268153,7735556,20735126,8992,20726134,2222042,1754996,467046,724,466322,70268,65185,44446
"Dallas, TX",2017,94830725,17102522,2324738,221011,14556773,34314732,2618148,55859,36221,6532,888,84,5560,13106,162955666,119808014,22181393,14027868,8153525,20966259,8699,20957560,2268710,1789988,478722,719,478003,71827,66932,43844
"Escambia, FL",2001,4547110,1253502,132510,18178,1102814,1778481,297776,25452,15270,4210,445,61,3704,5973,5842352,4372123,1052139,743887,308252,418090,4658,413432,167687,144896,22791,679,22112,34841,30174,18697
"Escambia, FL",2002,4652624,1363352,143606,25845,1193901,1753937,297568,26111,15635,4582,483,87,4012,5894,5970447,4400584,1123226,807107,316119,446637,2405,444232,165260,141956,23304,640,22664,36128,31000,19601
"Escambia, FL",2003,4859918,1467963,158085,24896,1284982,1765038,296603,27285,16385,4949,533,84,4332,5951,6240920,4561783,1226305,896740,329565,452832,5514,447318,167001,143390,23611,628,22983,37371,31814,19463
"Escambia, FL",2004,5113912,1592075,208783,17167,1366125,1775527,298225,28440,17148,5339,700,58,4581,5954,6607553,4874262,1293998,938066,355932,439293,3723,435570,171275,147002,24273,603,23670,38579,33158,18402
"Escambia, FL",2005,5399671,1640904,197995,10772,1432137,1845853,298339,29786,18099,5500,664,36,4800,6187,6957198,5119555,1351701,980023,371678,485942,4409,481533,172394,146989,25405,590,24815,40356,34830,19405
"Escambia, FL",2006,5722396,1740643,195026,9374,1536243,2067391,300395,31726,19050,5795,649,31,5114,6882,7384481,5471492,1377329,969025,408304,535660,7393,528267,176678,150413,26265,567,25698,41796,36376,20557
"Escambia, FL",2007,5785186,1859415,198437,13418,1647560,2193170,297393,33080,19453,6252,667,45,5540,7375,7595115,5670146,1435818,1019681,416137,489151,2625,486526,178616,150890,27726,658,27068,42522,37578,17974
"Escambia, FL",2008,5691299,2106574,221211,25453,1859910,2184115,296854,33626,19172,7096,745,86,6265,7358,7600364,5702100,1489673,1068221,421452,408591,676,407915,174368,147254,27114,652,26462,43588,38723,15415
"Escambia, FL",2009,5524432,2289279,257429,69424,1962426,2015181,297015,33092,18600,7708,867,234,6607,6785,7461533,5589969,1473679,1051737,421942,397885,-4833,402718,167009,139558,27451,654,26797,44677,40055,15028
"Escambia, FL",2010,5691339,2502665,287184,74472,2141009,2061408,298036,34410,19096,8397,964,250,7184,6917,7689695,5640743,1576382,1140983,435399,472570,-2003,474573,167126,139231,27895,657,27238,46011,40514,17423
"Escambia, FL",2011,5931517,2599012,294896,56985,2247131,2204475,299366,35859,19814,8682,985,190,7506,7364,7858787,5795149,1556315,1099609,456706,507323,6184,501139,167958,139233,28725,662,28063,46790,41622,17858
"Escambia, FL",2012,6106004,2560677,296598,38368,2225711,2354177,303467,36316,20121,8438,977,126,7334,7758,8060165,5895771,1591483,1116576,474907,572911,-1015,573926,167753,139160,28593,657,27936,48048,42367,20544
"Escambia, FL",2013,6086946,2623623,306916,28288,2288419,2308023,306767,35918,19842,8552,1000,92,7460,7524,8195083,6028387,1651729,1172838,478891,514967,3802,511165,171517,142577,28940,663,28277,47780,42282,18077
"Escambia, FL",2014,6265658,2780514,303252,14174,2463088,2480595,308103,37412,20336,9025,984,46,7994,8051,8416128,6228313,1637864,1151779,486085,549951,-4920,554871,174216,143876,30340,661,29679,48309,43289,18696
"Escambia, FL",2015,6576761,2900850,300310,8174,2592366,2663986,309529,39226,21248,9372,970,26,8375,8607,8776827,6524449,1696129,1198034,498095,556249,-2559,558808,176343,145734,30609,658,29951,49771,44770,18657
"Escambia, FL",2016,6643586,3009592,284545,6217,2718830,2737026,311711,39749,21313,9655,913,20,8722,8781,9024358,6776046,1699275,1194809,504466,549037,-4996,554033,181232,149321,31911,655,31256,49795,45379,17726
"Escambia, FL",2017,6831732,3146963,297664,5624,2843675,2829753,313512,40855,21791,10038,949,18,9070,9026,9382667,7076998,1736563,1217407,519156,569106,-2146,571252,184750,152274,32476,653,31823,50786,46475,17951
"Franklin, FL",2001,120908,49843,4270,546,45027,65650,9910,23855,12201,5030,431,55,4544,6625,130889,71721,18475,13433,5042,40693,0,40693,5002,3245,1757,0,1757,26167,22102,23161
"Franklin, FL",2002,132249,52617,4491,896,47230,64578,9972,25014,13262,5276,450,90,4736,6476,142229,79234,20970,15425,5545,42025,0,42025,5248,3451,1797,0,1797,27102,22960,23386
"Franklin, FL",2003,142981,54538,5010,824,48704,64282,10025,26115,14262,5440,500,82,4858,6412,151449,83694,22173,16368,5805,45582,0,45582,5188,3479,1709,0,1709,29192,24057,26672
"Franklin, FL",2004,154922,60184,5775,381,54028,71165,10090,28372,15354,5965,572,38,5355,7053,161343,89770,23928,17627,6301,47645,0,47645,5228,3479,1749,0,1749,30861,25803,27241
"Franklin, FL",2005,158520,59384,6662,498,52224,81771,10198,29386,15544,5823,653,49,5121,8018,161909,95000,25309,18718,6591,41600,0,41600,5214,3458,1756,0,1756,31053,27473,23690
"Franklin, FL",2006,166091,63783,6607,317,56859,94158,11308,28655,14688,5641,584,28,5028,8327,167609,105607,27971,20588,7383,34031,0,34031,5438,3639,1799,0,1799,30822,29021,18917
"Franklin, FL",2007,163680,65637,6736,299,58602,105331,11491,29123,14244,5712,586,26,5100,9166,163039,110130,29702,22090,7612,23207,0,23207,5547,3710,1837,0,1837,29392,29685,12633
"Franklin, FL",2008,153702,74582,6986,480,67116,102412,11484,28796,13384,6494,608,42,5844,8918,149865,106805,29299,21897,7402,13761,0,13761,5211,3465,1746,0,1746,28759,30824,7881
"Franklin, FL",2009,150479,77818,8471,1370,67977,82605,11515,27000,13068,6758,736,119,5903,7174,152591,105268,29290,21843,7447,18033,0,18033,5224,3391,1833,0,1833,29210,31043,9838
"Franklin, FL",2010,157181,90754,9947,1778,79029,83940,11522,28804,13642,7877,863,154,6859,7285,165643,106740,31356,23675,7681,27547,0,27547,5470,3476,1994,0,1994,30282,30708,13815
"Franklin, FL",2011,163183,93336,9767,1542,82027,91215,11469,30319,14228,8138,852,134,7152,7953,175044,107428,30119,22289,7830,37497,0,37497,5513,3566,1947,0,1947,31751,30126,19259
"Franklin, FL",2012,168468,94118,10302,1075,82741,99791,11608,31218,14513,8108,887,93,7128,8597,186857,109936,30875,22653,8222,46046,0,46046,5375,3596,1779,0,1779,34764,30572,25883
"Franklin, FL",2013,157159,95458,10481,618,84359,103310,11519,30899,13643,8287,910,54,7323,8969,182198,114107,32215,23835,8380,35876,0,35876,5430,3632,1798,0,1798,33554,31417,19953
"Franklin, FL",2014,153440,100559,10663,521,89375,111579,11644,31396,13178,8636,916,45,7676,9583,177695,115142,32125,23716,8409,30428,0,30428,5415,3620,1795,0,1795,32815,31807,16952
"Franklin, FL",2015,152474,105640,10215,167,95258,126227,11684,32895,13050,9041,874,14,8153,10803,176540,116513,31694,23365,8329,28333,0,28333,5328,3583,1745,0,1745,33134,32518,16237
"Franklin, FL",2016,153053,110502,10051,155,100296,125357,11799,32961,12972,9365,852,13,8500,10624,177335,116955,30975,22759,8216,29405,0,29405,5369,3574,1795,0,1795,33029,32724,16382
"Franklin, FL",2017,157376,114897,9864,126,104907,131687,11727,34447,13420,9798,841,11,8946,11229,182559,120507,31355,22960,8395,30697,0,30697,5444,3628,1816,0,1816,33534,33216,16904
"Galveston, TX",2001,5766873,926564,80052,22427,824085,1128641,254521,30733,22658,3640,315,88,3238,4434,4090784,2845133,724992,545995,178997,520659,-155,520814,117109,92616,24493,680,23813,34931,30720,21871
"Galveston, TX",2002,5925284,1025558,89940,39821,895797,1109381,260096,30989,22781,3943,346,153,3444,4265,4247699,2943132,749754,564692,185062,554813,876,553937,118839,93373,25466,651,24815,35743,31520,22323
"Galveston, TX",2003,6061672,1098307,105503,39214,953590,1209018,265269,31549,22851,4140,398,148,3595,4558,4395110,3071065,824002,622457,201545,500043,2609,497434,121123,93978,27145,630,26515,36286,32679,18760
"Galveston, TX",2004,6229235,1151095,114355,26152,1010588,1217511,269760,31872,23092,4267,424,97,3746,4513,4471886,3179090,845246,638504,206742,447550,2557,444993,122085,94263,27822,609,27213,36629,33726,16352
"Galveston, TX",2005,6555157,1283614,136516,18217,1128881,1348250,274806,33431,23854,4671,497,66,4108,4906,4605638,3305552,870110,657779,212331,429976,2339,427637,123741,94066,29675,609,29066,37220,35141,14713
"Galveston, TX",2006,7298608,1353600,135315,15378,1202907,1478334,279182,36287,26143,4848,485,55,4309,5295,5265951,3779886,990786,754818,235968,495279,1772,493507,129618,98481,31137,592,30545,40627,38382,16157
"Galveston, TX",2007,7920690,1468091,136019,15782,1316290,1627497,283770,38821,27912,5174,479,56,4639,5735,5668477,4174770,1017354,759078,258276,476353,502,475851,133579,102337,31242,629,30613,42435,40794,15544
"Galveston, TX",2008,8006319,1653921,153602,27961,1472358,1866683,288643,39935,27738,5730,532,97,5101,6467,5905101,4373476,1047185,778083,269102,484440,-568,485008,135788,102894,32894,611,32283,43488,42505,15024
"Galveston, TX",2009,7986548,1762175,169786,78238,1514151,1820370,287428,40250,27786,6131,591,272,5268,6333,5831424,4263697,1065493,795979,269514,502234,-492,502726,133780,98945,34835,596,34239,43590,43092,14683
"Galveston, TX",2010,8188270,1984190,193695,92513,1697982,1735422,292470,40715,27997,6784,662,316,5806,5934,6084125,4317485,1139014,852244,286770,627626,-1885,629511,135810,100841,34969,584,34385,44799,42815,18308
"Galveston, TX",2011,8717423,2045851,199266,75804,1770781,1997753,295609,43169,29490,6921,674,256,5990,6758,6281958,4431123,1124962,834088,290874,725873,-2400,728273,139247,102501,36746,572,36174,45114,43230,20132
"Galveston, TX",2012,9268128,2070111,201710,63053,1805348,2261036,301059,45171,30785,6876,670,209,5997,7510,6534581,4553465,1173443,873900,299543,807673,-1696,809369,141618,104186,37432,551,36881,46142,43705,21945
"Galveston, TX",2013,9659719,2149275,205969,46096,1897210,2166681,306662,45574,31500,7009,672,150,6187,7065,6747626,4636254,1265576,961546,304030,845796,-1697,847493,144988,105882,39106,556,38550,46539,43787,21984
"Galveston, TX",2014,10379525,2316229,212420,30498,2073311,2378960,313609,48068,33097,7386,677,97,6611,7586,7226039,4933278,1328441,1003170,325271,964320,-2636,966956,149462,109349,40113,550,39563,48347,45115,24441
"Galveston, TX",2015,11068134,2490278,210806,37888,2241584,2511808,321305,50015,34447,7751,656,118,6976,7818,7643542,5098805,1394248,1060573,333675,1150489,-1441,1151930,152742,111107,41635,544,41091,50042,45891,28034
"Galveston, TX",2016,10949995,2636695,216494,42118,2378083,2394283,329306,48529,33252,8007,657,128,7221,7271,7665096,5435594,1456538,1101435,355103,772964,-2858,775822,155163,115937,39226,542,38684,49400,46884,20055
"Galveston, TX",2017,11198493,2728113,245760,35657,2446696,2516767,335036,49079,33425,8143,734,106,7303,7512,7911041,5662928,1512587,1141225,371362,735526,-2441,737967,158143,118156,39987,539,39448,50025,47928,18707
"Hancock, MS",2001,587928,194331,15046,2132,177153,211996,44172,22509,13310,4399,341,48,4011,4799,648143,477878,111171,75741,35430,59094,1180,57914,19251,15068,4183,308,3875,33668,31715,14946
"Hancock, MS",2002,611983,207125,15804,3296,188025,201581,45058,22653,13582,4597,351,73,4173,4474,687668,505650,119769,81124,38645,62249,759,61490,19660,15363,4297,268,4029,34978,32913,15262
"Hancock, MS",2003,639917,219177,17662,3294,198221,199066,45772,23118,13981,4788,386,72,4331,4349,717084,527512,125845,85506,40339,63727,576,63151,19560,15086,4474,265,4209,36661,34967,15004
"Hancock, MS",2004,669102,240253,19273,2356,218624,216522,46717,24100,14322,5143,413,50,4680,4635,753046,549784,136752,93968,42784,66510,910,65600,19841,15318,4523,253,4270,37954,35891,15363
"Hancock, MS",2005,647897,437387,109584,5008,322795,187517,47715,26675,13578,9167,2297,105,6765,3930,784651,574588,146015,102422,43593,64048,251,63797,18149,14516,3633,252,3381,43234,39583,18869
"Hancock, MS",2006,680300,268502,17155,3734,247613,227388,40087,29341,16971,6698,428,93,6177,5672,828644,591815,147050,101845,45205,89779,1378,88401,17867,13418,4449,244,4205,46378,44106,21023
"Hancock, MS",2007,708192,234494,20031,1895,212568,751361,41707,40618,16980,5622,480,45,5097,18015,888138,657106,160351,110302,50049,70681,-960,71641,20081,15291,4790,240,4550,44228,42973,15745
"Hancock, MS",2008,758642,272765,21191,2851,248723,392406,42764,33295,17740,6378,496,67,5816,9176,940266,697596,169578,117534,52044,73092,-2115,75207,20552,15734,4818,234,4584,45751,44337,16406
"Hancock, MS",2009,737184,293615,27327,7300,258988,380112,43471,32456,16958,6754,629,168,5958,8744,942179,718398,180026,124782,55244,43755,-1495,45250,20338,15734,4604,229,4375,46326,45659,10343
"Hancock, MS",2010,788657,325564,32435,7963,285166,359777,44075,33443,17894,7387,736,181,6470,8163,999870,731521,182702,126556,56146,85647,-1873,87520,20380,15646,4734,225,4509,49061,46755,19410
"Hancock, MS",2011,815097,345093,33737,6959,304397,275075,44707,32104,18232,7719,755,156,6809,6153,1006442,727311,184017,125788,58229,95114,-1439,96553,19902,15376,4526,221,4305,50570,47302,22428
"Hancock, MS",2012,844390,341910,35731,5536,300643,294087,45231,32729,18668,7559,790,122,6647,6502,1023503,742210,189740,129631,60109,91553,-1251,92804,20113,15409,4704,213,4491,50888,48167,20664
"Hancock, MS",2013,828272,354430,36638,4490,313302,297774,45489,32546,18208,7792,805,99,6887,6546,990139,727812,187585,129057,58528,74742,-146,74888,20166,15300,4866,210,4656,49099,47569,16084
"Hancock, MS",2014,852077,389437,37498,2309,349630,314815,45939,33878,18548,8477,816,50,7611,6853,1005911,738942,195164,135565,59599,71805,-811,72616,20104,15193,4911,209,4702,50035,48637,15444
"Hancock, MS",2015,796508,396056,37322,1886,356848,329879,46255,32914,17220,8562,807,41,7715,7132,974056,748154,195261,134917,60344,30641,-499,31140,20157,15250,4907,209,4698,48323,49059,6628
"Hancock, MS",2016,800439,411850,36119,1958,373773,351832,46647,33531,17159,8829,774,42,8013,7542,970997,744275,199276,139416,59860,27446,-616,28062,20112,15018,5094,206,4888,48279,49559,5741
"Hancock, MS",2017,841021,417516,34806,1700,381010,368572,47053,34580,17874,8873,740,36,8097,7833,1016249,759504,204393,143101,61292,52352,-1017,53369,20239,15062,5177,203,4974,50212,50425,10730
"Harris, TX",2001,94676358,10043459,1322746,258178,8462535,17126362,3471291,35101,27274,2893,381,74,2438,4934,122902731,85266808,16151292,10590546,5560746,21484631,12759,21471872,2324036,1970154,353882,2413,351469,52883,43279,61092
"Harris, TX",2002,91907847,11079678,1348223,511485,9219970,16769356,3536682,33861,25987,3133,381,145,2607,4742,120188635,84634460,16480723,10865448,5615275,19073452,18877,19054575,2331937,1961589,370348,2354,367994,51540,43146,51780
"Harris, TX",2003,95133542,11739812,1561288,496059,9682465,18019895,3586133,34827,26528,3274,435,138,2700,5025,124190241,84866582,17387448,11434597,5952851,21936211,19286,21916925,2333205,1936122,397083,2191,394892,53227,43833,55501
"Harris, TX",2004,103704262,12309807,1743284,314642,10251881,19016529,3630185,37197,28567,3391,480,87,2824,5238,135024460,89593324,17963410,11764887,6198523,27467726,18079,27449647,2363204,1945438,417766,2064,415702,57136,46053,66032
"Harris, TX",2005,110339011,13803376,2135227,237493,11430656,23147561,3681829,40005,29969,3749,580,65,3105,6287,144227495,96195472,18934584,12415388,6519196,29097439,20021,29077418,2420600,1973416,447184,1997,445187,59583,48746,65315
"Harris, TX",2006,122507105,14622086,2152393,205316,12264377,27069789,3807435,43126,32176,3840,565,54,3221,7110,160581939,106313326,20623583,13692868,6930715,33645030,22151,33622879,2514387,2043400,470987,1888,469099,63865,52028,71675
"Harris, TX",2007,127512931,15981261,2177281,199816,13604164,28689580,3863344,44569,33006,4137,564,52,3521,7426,170581657,118539652,21616108,14146439,7469669,30425897,15518,30410379,2603161,2125436,477725,1950,475775,65529,55772,63918
"Harris, TX",2008,138604422,18354629,2442299,317944,15594386,34723333,3938580,48668,35191,4660,620,81,3959,8816,185036695,126007637,22384129,14622651,7761478,36644929,10141,36634788,2693786,2180558,513228,1943,511285,68690,57787,71652
"Harris, TX",2009,126997405,20227111,2836666,1005637,16384808,30068531,4034866,43940,31475,5013,703,249,4061,7452,172741030,120985102,22990532,15302458,7688074,28765396,8815,28756581,2664300,2120870,543430,1940,541490,64835,57045,53106
"Harris, TX",2010,135211278,22915565,3316619,1185812,18413134,29942566,4107854,45783,32915,5578,807,289,4482,7289,182350140,123795135,23596352,15666698,7929654,34958653,6974,34951679,2659686,2104121,555565,1950,553615,68561,58835,63134
"Harris, TX",2011,149282176,23880393,3509518,941290,19429585,31624405,4180816,48983,35706,5712,839,225,4647,7564,198516022,133040769,24339157,15699399,8639758,41136096,4529,41131567,2744613,2155043,589570,1954,587616,72329,61735,69997
"Harris, TX",2012,162951709,23627904,3568119,776852,19282933,39762014,4262689,53098,38227,5543,837,182,4524,9328,216379770,144059780,26211616,16927890,9283726,46108374,8789,46099585,2841362,2237580,603782,1938,601844,76154,64382,76597
"Harris, TX",2013,161893280,24388879,3632186,586150,20170543,38637474,4353517,51664,37187,5602,834,135,4633,8875,220580845,150563074,28405923,18617382,9788541,41611848,16033,41595815,2936417,2313668,622749,1950,620799,75119,65075,67004
"Harris, TX",2014,174805487,25765639,3714763,381835,21669041,42653744,4452695,54624,39258,5787,834,86,4867,9579,238379496,162877964,29892746,19515714,10377032,45608786,10012,45598774,3042968,2399374,643594,1927,641667,78338,67884,71063
"Harris, TX",2015,171390492,27537741,3723887,503391,23310463,47298463,4551362,54100,37657,6050,818,111,5122,10392,237375944,167546472,31493130,20788718,10704412,38336342,18310,38318032,3103525,2435451,668074,1896,666178,76486,68795,57519
"Harris, TX",2016,166560443,29146469,3846359,590112,24709998,40622621,4617041,51186,36075,6313,833,128,5352,8798,232542856,162921160,30904442,20278364,10626078,38717254,7638,38709616,3075014,2413525,661489,1890,659599,75623,67503,58687
"Harris, TX",2017,175002363,30032831,4285794,481805,25265232,42446924,4652980,53188,37611,6455,921,104,5430,9123,242312135,165462084,31860846,20884798,10976048,44989205,6547,44982658,3096828,2420341,676487,1877,674610,78245,68363,66680
"Humphreys, MS",2001,120867,61589,13603,1155,46831,38933,10969,20183,11019,5615,1240,105,4269,3549,133033,74823,17513,11788,5725,40697,24697,16000,4863,3986,877,290,587,27356,18771,27257
"Humphreys, MS",2002,85792,64376,14375,1397,48604,37799,10582,17763,8107,6084,1358,132,4593,3572,98325,76284,18636,12723,5913,3405,-13706,17111,4748,3907,841,269,572,20709,19525,29914
"Humphreys, MS",2003,115103,66457,14580,1248,50629,35679,10351,20987,11120,6420,1409,121,4891,3447,125992,73112,18820,13137,5683,34060,17822,16238,4449,3682,767,230,537,28319,19857,30238
"Humphreys, MS",2004,133847,71287,14992,881,55414,31193,10204,23160,13117,6986,1469,86,5431,3057,142639,74203,20200,14402,5798,48236,34755,13481,4321,3560,761,207,554,33011,20844,24334
"Humphreys, MS",2005,121234,72678,15458,985,56235,28197,9974,22269,12155,7287,1550,99,5638,2827,128570,75135,20366,14746,5620,33069,23535,9534,4196,3468,728,186,542,30641,21665,17590
"Humphreys, MS",2006,112995,76108,15952,825,59331,26682,9840,21929,11483,7735,1621,84,6030,2712,118460,76851,20481,14598,5883,21128,13045,8083,4194,3504,690,165,525,28245,21932,15396
"Humphreys, MS",2007,122270,80323,16641,768,62914,28890,9666,23948,12649,8310,1722,79,6509,2989,128389,82816,22418,15900,6518,23155,18391,4764,4350,3608,742,145,597,29515,22953,7980
"Humphreys, MS",2008,94393,88324,18478,1172,68674,35447,9691,22512,9740,9114,1907,121,7086,3658,102636,86419,22736,15671,7065,-6519,-11025,4506,4473,3603,870,161,709,22946,23985,6355
"Humphreys, MS",2009,92120,92009,20452,2653,68904,37331,9517,23270,9680,9668,2149,279,7240,3923,101657,84888,22495,15597,6898,-5726,-14122,8396,4481,3549,932,173,759,22686,23919,11062
"Humphreys, MS",2010,124535,97612,21636,2796,73180,32750,9335,27306,13341,10457,2318,300,7839,3508,136059,86848,22999,16121,6878,26212,10779,15433,4580,3591,989,185,804,29707,24185,19195
"Humphreys, MS",2011,138896,101342,22285,2359,76698,37964,9316,29863,14909,10878,2392,253,8233,4075,145640,80544,20991,14034,6957,44105,26768,17337,4415,3352,1063,197,866,32988,24029,20020
"Humphreys, MS",2012,107689,99699,22271,2096,75332,41964,9213,27065,11689,10822,2417,228,8177,4555,109819,74770,19583,13258,6325,15466,-1061,16527,3825,2686,1139,209,930,28711,27837,17771
"Humphreys, MS",2013,137790,99808,22491,1604,75713,38309,8963,30783,15373,11136,2509,179,8447,4274,143941,72903,19941,13554,6387,51097,33471,17626,3812,2682,1130,211,919,37760,27182,19180
"Humphreys, MS",2014,87101,102773,22065,763,79945,44599,8790,26675,9909,11692,2510,87,9095,5074,92093,73628,20839,14535,6304,-2374,-22104,19730,3912,2752,1160,210,950,23541,26754,20768
"Humphreys, MS",2015,85498,105360,22319,504,82537,44266,8703,27016,9824,12106,2565,58,9484,5086,90028,74260,19649,13391,6258,-3881,-21490,17609,3826,2650,1176,217,959,23531,28023,18362
"Humphreys, MS",2016,89150,108736,21375,476,86885,44466,8594,28200,10374,12653,2487,55,10110,5174,92455,70845,19270,13660,5610,2340,-14098,16438,3684,2538,1146,214,932,25096,27914,17637
"Humphreys, MS",2017,77183,108415,20728,358,87329,46103,8342,27775,9252,12996,2485,43,10469,5527,81384,72364,19716,13950,5766,-10696,-26232,15536,3745,2588,1157,211,946,21731,27961,16423
"Jackson, MS",2001,2088937,509325,46674,8918,453733,587041,133069,23937,15698,3828,351,67,3410,4412,2308170,1710485,448208,317789,130419,149477,2982,146495,64255,54742,9513,547,8966,35922,31246,16339
"Jackson, MS",2002,2070163,550379,53115,12676,484588,577191,133688,23919,15485,4117,397,95,3625,4317,2238000,1636767,442323,315739,126584,158910,2238,156672,63881,53795,10086,496,9590,35034,30426,16337
